date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:13:22	4716/4716	---M--	200	added ('OK')	image/jpeg	etag:%2254ebd11a-126c%22	http://lambert.kwst.net/site/images/blog/1.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/blog/1.jpg	(from http://lambert.kwst.net/site/blog.html)
12:13:23	5039/5039	---M--	200	added ('OK')	image/jpeg	etag:%2254ebd186-13af%22	http://lambert.kwst.net/site/images/blog/2.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/blog/2.jpg	(from http://lambert.kwst.net/site/blog.html)
12:13:25	6191/6191	---M--	200	added ('OK')	image/jpeg	etag:%2254ebd19e-182f%22	http://lambert.kwst.net/site/images/blog/3.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/blog/3.jpg	(from http://lambert.kwst.net/site/blog.html)
12:13:26	5302/5302	---M--	200	added ('OK')	image/jpeg	etag:%2254ebd1b0-14b6%22	http://lambert.kwst.net/site/images/blog/4.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/blog/4.jpg	(from http://lambert.kwst.net/site/blog.html)
12:13:31	25723/25723	---M--	200	added ('OK')	image/jpeg	etag:%22553fd460-647b%22	http://lambert.kwst.net/site/images/blog/users/1.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/blog/users/1.jpg	(from http://lambert.kwst.net/site/blog.html)
12:13:35	24795/24795	---M--	200	added ('OK')	image/jpeg	etag:%22553fd466-60db%22	http://lambert.kwst.net/site/images/blog/users/2.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/blog/users/2.jpg	(from http://lambert.kwst.net/site/blog.html)
12:13:39	268770/268770	---M--	200	added ('OK')	image/jpeg	etag:%225d2c229a-419e2%22	http://lambert.kwst.net/site/images/bg/33.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/bg/33.jpg	(from http://lambert.kwst.net/site/reservation.html)
12:13:45	283401/283401	---M--	200	added ('OK')	image/jpeg	etag:%225d2c2292-45309%22	http://lambert.kwst.net/site/images/bg/32.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/bg/32.jpg	(from http://lambert.kwst.net/site/contact.html)
12:14:40	2035/2035	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202024%2017:14:38%20GMT	http://lambert.kwst.net/site/team/images/team/big/1.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/team/images/team/big/1.4f.delayed	(from http://lambert.kwst.net/site/team/mem1.html)
12:14:40	2035/2035	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202024%2017:14:39%20GMT	http://lambert.kwst.net/site/team/images/team/big/2.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/team/images/team/big/2.jpg	(from http://lambert.kwst.net/site/team/mem2.html)
12:14:41	2035/2035	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202024%2017:14:39%20GMT	http://lambert.kwst.net/site/team/images/team/big/3.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/team/images/team/big/3.jpg	(from http://lambert.kwst.net/site/team/mem3.html)
12:14:42	2035/2035	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202024%2017:14:39%20GMT	http://lambert.kwst.net/site/team/images/team/big/4.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/team/images/team/big/4.jpg	(from http://lambert.kwst.net/site/team/mem4.html)
12:20:00	12429283/12429283	UR-M--	200	added ('Partial%20Content')	video/mp4	etag:%22555f74d0-bda7e3%22	http://lambert.kwst.net/site/video/1.mp4	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/video/1.mp4	(from http://lambert.kwst.net/site/index.html)
